date,description,amount
2022-12-01,Salary, 6666.66
2023-12-01,Salary, 6666.66
2023-12-01,Whole Foods Market,-89.45
2023-12-01,Starbucks Coffee,-4.85
2023-12-02,Shell Gas Station,-45.20
2023-12-02,Amazon Prime,-14.99
2023-12-03,McDonald's,-12.75
2023-12-03,Netflix Subscription,-15.99
2023-12-04,Trader Joe's,-67.32
2023-12-04,Uber Ride,-18.50
2023-12-05,CVS Pharmacy,-23.45
2023-12-05,AMC Movie Theater,-28.50
2023-12-06,Chipotle Mexican Grill,-11.25
2023-12-06,Electric Company Bill,-125.80
2023-12-07,Target Store,-156.78
2023-12-07,Spotify Premium,-9.99
2023-12-08,Safeway Grocery,-78.90
2023-12-08,Lyft Ride,-15.25
2023-12-09,Pizza Hut,-22.45
2023-12-09,Internet Bill,-79.99
2023-12-10,Costco Wholesale,-234.56
2023-12-10,Gym Membership,-49.99
2023-11-15,Whole Foods Market,-112.30
2023-11-16,Chevron Gas Station,-52.80
2023-11-17,Subway Restaurant,-8.95
2023-11-18,Amazon Purchase,-67.45
2023-11-19,Starbucks Coffee,-5.20
2023-11-20,Doctor Visit,-150.00
2023-11-21,Kroger Grocery,-89.75
2023-11-22,Movie Theater,-32.00
2023-11-23,Uber Eats,-28.50
2023-11-24,Walmart Supercenter,-145.67
2023-11-25,Phone Bill,-85.00
2023-10-10,Apple Store,-299.99
2023-10-11,Best Buy Electronics,-159.99
2023-10-12,Home Depot,-87.45
2023-10-13,Lowe's Hardware,-45.32
2023-10-14,Barnes & Noble,-34.95 
